1       0.5     0       10      
2       1.75    0       10      
3       9.714285714285714       0       20      
4       46.333333333333336      20      80      
5       157.666666666666657     110     280     
6       688.666666666666629     470     1160    
7       2849.666666666666515    2120    5730    
8       12266.0 9150    30030   
9       53911.0 40720   113960  
10      221832.0        173520  335190  
11      896209.545454545412213  769520  1347120 
12      3870571.0       3238510 6127680 
13      14264735.0      13694290        14835180        
